city,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability,wind_speed_max,wind_gust_max,weather_code,latitude,longitude,temperature_category,precipitation_category,wind_category,precipitation_risk,wind_risk,temperature_risk,risk_score,risk_level
Casablanca,2026-09-19,26.5,18.9,0.0,0,10.9,31.3,45,33.5992,-7.62,Normal,None,Normal,0.0,18.166666666666668,0.0,5.45,Low
Casablanca,2026-09-20,29.8,20.0,0.0,0,9.7,28.4,1,33.5992,-7.62,Normal,None,Normal,0.0,16.166666666666664,0.0,4.85,Low
Casablanca,2026-09-21,30.1,20.6,0.0,0,10.6,31.0,1,33.5992,-7.62,Hot,None,Normal,0.0,17.666666666666668,1.0000000000000142,5.6,Low
Casablanca,2026-09-22,29.0,19.9,0.0,0,9.8,28.8,45,33.5992,-7.62,Normal,None,Normal,0.0,16.333333333333336,0.0,4.9,Low
Casablanca,2026-09-23,28.6,19.5,0.0,0,9.5,28.8,45,33.5992,-7.62,Normal,None,Normal,0.0,15.833333333333332,0.0,4.75,Low
Casablanca,2026-09-24,29.4,18.0,0.0,0,11.3,30.2,45,33.5992,-7.62,Normal,None,Normal,0.0,18.833333333333336,0.0,5.65,Low
Casablanca,2026-09-25,26.5,20.0,0.0,0,12.0,33.1,45,33.5992,-7.62,Normal,None,Normal,0.0,20.0,0.0,6.0,Low
Tangier,2026-09-19,27.7,22.9,0.0,0,32.4,76.0,2,35.7767,-5.8039,Normal,None,Moderate,0.0,53.99999999999999,0.0,16.2,Low
Tangier,2026-09-20,28.3,23.8,0.0,0,32.0,74.9,1,35.7767,-5.8039,Normal,None,Moderate,0.0,53.333333333333336,0.0,16.0,Low
Tangier,2026-09-21,28.6,22.8,0.0,0,28.5,66.6,3,35.7767,-5.8039,Normal,None,Moderate,0.0,47.5,0.0,14.25,Low
Tangier,2026-09-22,28.6,21.7,0.0,0,24.9,57.6,2,35.7767,-5.8039,Normal,None,Moderate,0.0,41.5,0.0,12.45,Low
Tangier,2026-09-23,29.8,21.3,0.0,0,18.5,43.6,0,35.7767,-5.8039,Normal,None,Normal,0.0,30.833333333333336,0.0,9.25,Low
Tangier,2026-09-24,28.0,22.3,0.0,0,24.9,45.7,1,35.7767,-5.8039,Normal,None,Moderate,0.0,41.5,0.0,12.45,Low
Tangier,2026-09-25,24.8,18.3,0.0,0,10.1,20.9,45,35.7767,-5.8039,Normal,None,Normal,0.0,16.833333333333332,0.0,5.05,Low
Fès,2026-09-19,33.9,21.2,0.0,5,16.2,41.0,2,34.0433,-5.0033,Hot,None,Normal,1.5,26.999999999999996,38.999999999999986,20.4,Low
Fès,2026-09-20,35.2,21.8,0.0,0,14.3,36.7,1,34.0433,-5.0033,Very Hot,None,Normal,0.0,23.833333333333336,52.00000000000002,22.75,Low
Fès,2026-09-21,34.6,21.8,0.0,0,12.1,32.0,1,34.0433,-5.0033,Hot,None,Normal,0.0,20.166666666666664,46.000000000000014,19.85,Low
Fès,2026-09-22,33.6,20.8,0.0,0,10.0,27.4,0,34.0433,-5.0033,Hot,None,Normal,0.0,16.666666666666664,36.000000000000014,15.8,Low
Fès,2026-09-23,34.7,20.2,0.0,0,9.5,25.2,0,34.0433,-5.0033,Hot,None,Normal,0.0,15.833333333333332,47.00000000000003,18.85,Low
Fès,2026-09-24,36.0,20.6,0.0,0,13.7,33.5,2,34.0433,-5.0033,Very Hot,None,Normal,0.0,22.833333333333332,60.0,24.85,Low
Fès,2026-09-25,33.5,20.0,0.0,0,16.3,40.3,3,34.0433,-5.0033,Hot,None,Normal,0.0,27.166666666666668,35.0,18.65,Low
Marrakech,2026-09-19,36.4,20.3,0.1,23,9.9,28.8,3,31.6295,-7.9811,Very Hot,Light,Normal,7.133333333333334,16.5,63.99999999999999,27.0,Low
Marrakech,2026-09-20,37.1,23.2,0.2,48,13.7,32.8,80,31.6295,-7.9811,Very Hot,Light,Normal,14.866666666666665,22.833333333333332,71.00000000000001,34.1,Medium
Marrakech,2026-09-21,37.5,22.1,0.0,3,14.8,41.8,3,31.6295,-7.9811,Very Hot,None,Normal,0.8999999999999999,24.666666666666668,75.0,30.26,Medium
Marrakech,2026-09-22,37.6,20.2,0.0,0,11.9,32.4,2,31.6295,-7.9811,Very Hot,None,Normal,0.0,19.833333333333332,76.00000000000001,28.75,Low
Marrakech,2026-09-23,37.6,20.5,0.0,0,9.1,24.1,3,31.6295,-7.9811,Very Hot,None,Normal,0.0,15.166666666666668,76.00000000000001,27.35,Low
Marrakech,2026-09-24,37.1,20.6,0.0,0,16.6,28.4,1,31.6295,-7.9811,Very Hot,None,Normal,0.0,27.666666666666668,71.00000000000001,29.6,Low
Marrakech,2026-09-25,34.5,21.7,0.0,3,17.9,30.6,3,31.6295,-7.9811,Hot,None,Normal,0.8999999999999999,29.83333333333333,45.0,22.81,Low
Sale,2026-09-19,28.6,17.0,0.0,0,11.9,31.0,2,34.05,-6.8167,Normal,None,Normal,0.0,19.833333333333332,0.0,5.95,Low
Sale,2026-09-20,31.1,19.3,0.0,0,11.5,29.9,1,34.05,-6.8167,Hot,None,Normal,0.0,19.166666666666668,11.000000000000014,9.05,Low
Sale,2026-09-21,30.7,20.7,0.0,0,11.4,30.2,1,34.05,-6.8167,Hot,None,Normal,0.0,19.0,6.999999999999992,7.8,Low
Sale,2026-09-22,30.2,20.2,0.0,0,11.3,29.2,0,34.05,-6.8167,Hot,None,Normal,0.0,18.833333333333336,1.9999999999999927,6.25,Low
Sale,2026-09-23,29.3,18.9,0.0,0,11.8,32.0,1,34.05,-6.8167,Normal,None,Normal,0.0,19.666666666666668,0.0,5.9,Low
Sale,2026-09-24,27.4,18.7,0.0,0,10.7,25.6,45,34.05,-6.8167,Normal,None,Normal,0.0,17.833333333333332,0.0,5.35,Low
Sale,2026-09-25,25.7,20.3,0.0,0,11.5,27.7,45,34.05,-6.8167,Normal,None,Normal,0.0,19.166666666666668,0.0,5.75,Low
